Feature,X_Value,Partial_Effect,CI_Lower,CI_Upper
rho_fixed,17903.953535353536,-228.2317889457585,-417.6965826608657,-38.76699523065125
rho_fixed,18107.779797979798,-232.77806093792515,-425.0810180348645,-40.47510384098581
rho_fixed,18311.60606060606,-234.15070014731154,-430.57382206934994,-37.72757822527316
rho_fixed,18515.432323232326,-233.02610191552276,-435.9527868780789,-30.099416952966664
rho_fixed,18719.258585858588,-230.08066158416375,-441.8882588085751,-18.273064359752453
rho_fixed,18923.08484848485,-225.99077449483963,-447.93551008658426,-4.046038903095024
rho_fixed,19126.911111111112,-221.40824793263138,-452.904664458213,10.088168592950211
rho_fixed,19330.737373737375,-216.67771397309377,-455.6482040757563,22.292776129568807
rho_fixed,19534.563636363637,-211.93500018172136,-455.55661354794813,31.686613184505433
rho_fixed,19738.3898989899,-207.3119438759179,-452.4322730341479,37.808385282312116
rho_fixed,19942.216161616165,-202.94038237308692,-446.42622071192375,40.54545596574991
rho_fixed,20146.042424242427,-198.9521529906323,-438.052557408588,40.148251427323345
rho_fixed,20349.86868686869,-195.459677199654,-428.3222247171279,37.40287031781986
rho_fixed,20553.69494949495,-192.4422463152014,-419.08607636022106,34.20158372981825
rho_fixed,20757.521212121213,-189.82330986696383,-412.6986827554759,33.052063021548236
rho_fixed,20961.347474747476,-187.5261263394956,-411.5176461838315,36.46539350484031
rho_fixed,21165.173737373738,-185.47395421735104,-417.3164717912481,46.36856335654602
rho_fixed,21369.0,-183.59005198508464,-430.7359868960027,63.5558829258334
nu_fixed,0.029,361.0332554706173,7.987788697740314,714.0787222434942
nu_fixed,0.033252525252525256,350.6861250004099,18.06733410857356,683.3049158922463
nu_fixed,0.037505050505050506,340.370834148766,27.012440202191726,653.7292280953402
nu_fixed,0.04175757575757576,330.10209152479626,34.6291550338604,625.5750280157322
nu_fixed,0.046010101010101015,319.8946057376115,40.7098455868952,599.0793658883279
nu_fixed,0.05026262626262626,309.7630853963224,45.04058020821134,574.4855905844336
nu_fixed,0.054515151515151516,299.7222418044561,47.41392235190909,552.030561257003
nu_fixed,0.058767676767676774,289.78757383339683,47.64886929662907,531.9262783701646
nu_fixed,0.06302020202020202,279.97645796340396,45.61809478381366,514.3348211429943
nu_fixed,0.06727272727272728,270.306544507251,41.27260959151232,499.34047942298963
nu_fixed,0.07152525252525252,260.7954837777112,34.66019171426859,486.9307758411538
nu_fixed,0.07577777777777778,251.46092608755814,25.931514953351694,476.99033722176455
nu_fixed,0.08003030303030303,242.3205217493398,15.33086422801179,469.31017927066785
nu_fixed,0.08428282828282828,233.3919210638222,3.173833015070045,463.61000911257435
nu_fixed,0.08853535353535354,224.69277431443751,-10.181487889165822,459.5670365180408
nu_fixed,0.09278787878787878,216.24073178323096,-24.362564816389778,456.84402838285166
nu_fixed,0.09704040404040404,208.05344375224718,-39.00468103318266,455.11156853767704
nu_fixed,0.1012929292929293,200.14856050353123,-53.76558016588751,454.06270117294997
nu_fixed,0.10554545454545454,192.5437323185223,-68.33314622658173,453.42061086362634
nu_fixed,0.1097979797979798,185.2566094664776,-82.42793443216644,452.94115336512164
nu_fixed,0.11405050505050504,178.3048422053728,-95.80250075405766,452.4121851648033
nu_fixed,0.1183030303030303,171.70608079275772,-108.23910491864464,451.65126650416005
nu_fixed,0.12255555555555556,165.47797548618243,-119.54687220364863,450.5028231760135
nu_fixed,0.12680808080808081,159.63817654319692,-129.55908566265649,448.83543874905035
nu_fixed,0.13106060606060607,154.2043342202037,-138.13099671876,446.5396651591674
nu_fixed,0.13531313131313133,149.19409876199907,-145.1383787407676,443.5265762647657
nu_fixed,0.13956565656565656,144.62512040664018,-150.47697784200233,439.7272186552827
nu_fixed,0.14381818181818182,140.51504939210136,-154.06301340247117,435.0931121866739
nu_fixed,0.14807070707070707,136.88153595635674,-155.8349334750331,429.5980053877466
nu_fixed,0.15232323232323233,133.74223033738056,-155.75673328466817,423.2411939594293
nu_fixed,0.15657575757575756,131.1144461573699,-153.82524887363292,416.05414118837274
nu_fixed,0.16082828282828282,129.01357528658312,-150.08668463241386,408.11383520558013
nu_fixed,0.16508080808080808,127.45432868389776,-144.63919750507677,399.5478548728723
nu_fixed,0.16933333333333334,126.45141651028725,-137.6440208337666,390.54685385434107
nu_fixed,0.1735858585858586,126.01954892672498,-129.34650409475228,381.38560194820224
nu_fixed,0.17783838383838382,126.17343329609538,-120.10393122770448,372.45079781989523
nu_fixed,0.18209090909090908,126.91146971792786,-110.46657695010639,364.2895163859621
nu_fixed,0.18634343434343434,128.17734725531096,-101.2606932368542,357.6153877474761
nu_fixed,0.1905959595959596,129.90329399832333,-93.35425457809089,353.16084257473756
nu_fixed,0.19484848484848485,132.02153803704365,-87.5380162457968,351.5810923198841
nu_fixed,0.19910101010101008,134.4643074615505,-84.42513266460429,353.3537475877053
nu_fixed,0.20335353535353534,137.16358661258923,-84.35654298126553,358.683716206444
nu_fixed,0.2076060606060606,140.01706353798463,-87.33083079513179,367.36495787110107
nu_fixed,0.21185858585858586,142.8530643658873,-92.92980351120053,378.6359322429751
nu_fixed,0.21611111111111111,145.49154776686345,-100.39713257697244,391.38022811069936
nu_fixed,0.22036363636363637,147.7524724114795,-108.80696101985532,404.3119058428143
nu_fixed,0.2246161616161616,149.4557969703016,-117.20342904290248,416.1150229835057
nu_fixed,0.22886868686868686,150.42315022472206,-124.69407857008508,425.5403790195292
nu_fixed,0.23312121212121212,150.5367913351541,-130.61336890373482,431.68695157404306
nu_fixed,0.23737373737373738,149.75534199286466,-134.574191567841,434.0848755535703
nu_fixed,0.24162626262626263,148.04229301689296,-136.32630343028856,432.41088946407444
nu_fixed,0.24587878787878786,145.36113522627818,-135.74816063956865,426.470431092125
nu_fixed,0.25013131313131315,141.6753594400595,-132.8721873857884,416.22290626590745
nu_fixed,0.2543838383838384,136.96463772372238,-127.96166414381264,401.8909395912574
nu_fixed,0.25863636363636366,131.4624126307668,-121.78397545870882,384.70880072024244
nu_fixed,0.2628888888888889,125.60361559544049,-115.25559325446403,366.462824445345
nu_fixed,0.2671414141414142,119.82872821952168,-108.99015650789488,348.64761294693824
nu_fixed,0.2713939393939394,114.57823210478907,-103.18183566939942,332.3382998789775
nu_fixed,0.27564646464646464,110.29260885302111,-97.60782963056553,318.1930473366077
nu_fixed,0.2798989898989899,107.3719549276943,-91.94452263744077,306.6884324928294
nu_fixed,0.28415151515151515,105.88159476736305,-86.84203607578709,298.60522561051323
nu_fixed,0.28840404040404044,105.7213233748015,-83.05943071505897,294.50207746466197
nu_fixed,0.29265656565656567,106.78975930815429,-80.49452671220297,294.07404532851154
nu_fixed,0.29690909090909096,108.98552112556598,-78.08894354968874,296.0599858008207
nu_fixed,0.3011616161616162,112.20722738518121,-74.1873331427288,298.60178791309124
nu_fixed,0.3054141414141414,116.28856788905192,-67.57273156376878,300.1498673418726
